n,gamma
563,892.3864332601559
564,893.1191175672942
565,894.8862923208687
566,895.397919674783
567,896.6322515562027
568,899.2215226683834
569,899.8588846079375
570,900.8497398605214
571,902.2432075867523
572,903.0996744426304
573,904.7029027222814
574,905.8299407582222
575,907.6567294689676
576,908.3335436450609
577,910.1863340571798
578,911.2349514859555
579,912.3310456000356
580,912.8239992467434
581,914.7300969583756
582,916.3550008086428
583,917.8253775704268
584,918.836535243529
585,919.4483444396823
586,921.1563955071548
587,922.5006293066368
588,923.2857198024222
589,924.7734839334767
590,926.551552784603
591,927.8508589857536
592,928.6636593289348
593,929.8740928506478
594,931.009211336628
595,931.8527407455201
596,934.3853068372584
597,934.9954248638464
598,936.228649379283
599,937.5329257119704
600,939.0243008992184
601,939.6609406145282
602,941.1569996420424
603,942.0523416433755
604,944.1880358095727
605,945.333562503046
606,946.7658422047278
607,947.0791830962548
608,948.346646255045
609,950.1516126846439
610,951.0332487338235
611,952.7279886198506
612,954.1297192695514
613,954.8293089382166
614,956.6754793432898
615,957.5100525964237
616,958.4145933901361
617,959.4591688070681
618,961.6695724741927
619,963.1820866713115
620,963.5670401916123
621,965.0555796237511
622,966.1107548184102
623,967.3711537662629
624,968.6363019060873
625,970.1256105569412
626,971.0714914863858
627,973.1853612943012
628,973.8730789926536
629,974.7746350658374
630,976.1785024205897
631,976.9172021170506
632,978.766671535113
633,980.5780006397745
634,981.288615301759
635,982.396485168779
636,983.5750760064313
637,985.1869286557734
638,986.1305151101845
639,986.756008407656
640,988.9926223706574
641,990.223917804028
642,991.3742941477615
643,992.7286963367327
644,993.214580957443
645,994.4045905710944
646,996.2053361642983
647,997.5119347519392
648,998.8275471369296
649,999.7915715574129
650,1001.3494826377828
651,1002.4043054883917
652,1003.2678081794533
653,1004.6750441211728
654,1005.5434203043784
655,1008.0067043070636
656,1008.7957099007423
657,1009.8065907469646
658,1010.569757011061
659,1012.4100425157616
660,1013.058638098409
661,1014.6896326223704
662,1016.0601789426473
663,1017.2664023643554
664,1018.6055725186202
665,1019.912439743944
666,1020.9174750172637
667,1021.5443444999047
668,1022.8852709117164
669,1025.2657241977276
670,1025.7079443714629
671,1027.4676935155878
672,1028.1289642554975
673,1029.2272974439613
674,1030.8973687905966
675,1031.8331802974078
676,1032.8128830351588
677,1034.6129155295207
678,1036.1959173580547
679,1037.0247076462817
680,1038.0877522406188
681,1039.0774014368967
682,1040.2640379376958
683,1041.6215280145423
684,1043.6239543496215
685,1044.5149758290788
686,1045.107042352978
687,1047.0898174842948
688,1047.9871474896004
689,1048.953785194686
690,1049.9962842565933
691,1051.576571843205
692,1053.2457851583858
693,1054.7810394782814
694,1055.0021464756858
695,1056.6888473638282
696,1057.1000436596178
697,1059.133769106897
698,1060.139518561608
699,1061.5013044650684
700,1062.9153815078805
701,1064.0715510717184
702,1065.121855106293
703,1066.463223469243
704,1067.4188601209646
705,1067.9900000790426
706,1070.5350419968292
707,1071.6186232150894
708,1072.5439980111216
709,1073.5703531650938
710,1074.747771044311
711,1076.2666255941774
712,1076.9240560657545
713,1078.6471984809564
714,1079.8099654292591
715,1081.1710023434678
716,1082.9527497230697
717,1083.2954665140855
718,1084.18326431043
719,1085.6478312086394
720,1086.9119989898252
721,1088.7557246748088
722,1089.7953379240748
723,1090.8631910262488
724,1091.7284729669368
725,1093.4408732723687
726,1094.284457523754
727,1095.4330847586614
728,1096.4019177947425
729,1098.8410154666499
730,1099.3606671785717
731,1100.5744606224625
732,1101.839111168756
733,1102.5517798999176
734,1103.7322971745468
735,1105.617188830762
736,1106.7743716758328
737,1107.7745319550102
738,1109.1589188567664
739,1110.4441429936132
740,1111.4435047649
741,1112.4329954080765
742,1113.397595114802
743,1115.0653594615667
744,1116.7872538812146
745,1117.9659196691996
746,1118.6841348610185
747,1119.473247426179
748,1121.1559376758105
749,1122.4586213568805
750,1123.1011173878092
751,1125.3147293978466
752,1125.7634424292526
753,1127.6580235272156
754,1128.4302246138927
755,1129.7289967770655
756,1130.3915978962316
757,1131.495085561917
758,1133.7086256694563
759,1134.8856545915332
760,1135.5622139754776
761,1136.9292934809696
762,1138.1515897798056
763,1138.9923418204937
764,1140.7218481719033
765,1141.2610229641368
766,1142.8586596078565
767,1144.7822995186255
768,1145.4853275171172
769,1146.576814924867
770,1147.5017765233192
771,1148.615277208834
772,1149.9826010281072
773,1151.5628147236732
774,1152.9431285305898
775,1153.8903037162713
776,1154.6975195353823
777,1156.6215678338726
778,1157.432314575611
779,1158.001609027295
780,1159.4806570190224
781,1161.3966446343782
782,1162.4875286020053
783,1163.7010316827786
784,1164.7375863512277
785,1165.2712277064577
786,1166.9436134095288
787,1168.0862716101387
788,1169.698356884885
789,1170.4636385782837
790,1172.1206818656956
791,1173.3056877640483
792,1174.2327668564562
793,1175.2154523959507
794,1176.6328758097884
795,1177.1063044216562
796,1179.701223501934
797,1180.6535437870843
798,1181.26731815168
799,1182.5822703469205
800,1183.7127752959743
801,1185.1558428474657
802,1185.8753586953567
803,1187.3451614932674
804,1188.8564442982292
805,1189.9636364979185
806,1191.4826059264135
807,1192.2186114781016
808,1193.3240214274551
809,1193.857427135437
810,1196.0346717486711
811,1197.071786658822
812,1198.6865691046305
813,1199.356513707894
814,1200.53269203122
815,1201.810334856606
816,1203.1373508614254
817,1203.855247594097
818,1204.9854921714664
819,1206.870499793853
820,1208.471459949531
821,1208.989484167939
822,1209.898030087546
823,1211.4161158927982
824,1212.1131530663197
825,1213.5983726803681
826,1215.3899750650457
827,1216.1837220334673
828,1217.1744824977388
829,1219.0500281774061
830,1219.6144713108586
831,1220.816347690978
832,1221.6922424831437
833,1222.9524840951083
834,1225.0183300241686
835,1225.8550207607957
836,1227.231827641491
837,1227.9171416144
838,1228.793154362981
839,1230.5846031542492
840,1231.5622738776453
841,1232.5295870405978
842,1234.2778166534317
843,1235.502548526521
844,1236.399017465779
845,1237.9772985135812
846,1238.4572327956619
847,1239.4908071467958
848,1240.8134717852163
849,1243.078076398021
850,1243.5381465261144
851,1244.851433966984
852,1245.655866188148
853,1247.3725619698557
854,1248.0630610532082
855,1249.159887953003
856,1250.6723972756781
857,1251.6598320042713
858,1253.6735778521072
859,1254.4313284217735
860,1255.4082306452908
861,1256.1812141984608
862,1257.541219412644
863,1258.779233488595
864,1260.3445483161854
865,1261.6117171614799
866,1262.5566140003561
867,1263.6767328438618
868,1264.9572230069998
869,1266.179037760562
870,1267.2003456118455
871,1267.5705717794401
872,1270.1189218864927
873,1271.13429963161
874,1272.083959599333
875,1273.2611446334558
876,1274.1962208894804
877,1275.0920303158405
878,1276.8421715555698
879,1277.7630919863468
880,1279.3328433167082
881,1280.155794409023
882,1281.8287269597
883,1283.0004913866997
884,1283.3350321388793
885,1284.8547951546216
886,1285.6950233311386
887,1287.4100266170753
888,1289.165351532773
889,1290.1047715198074
890,1290.4177080730426
891,1291.9458709680832
892,1293.4939815574176
893,1294.1184743778483
894,1295.3653635053583
895,1296.8011109923473
896,1298.2565270678895
897,1299.405171250744
898,1300.4900189824477
899,1301.495516680575
900,1302.346742379247
901,1303.2732002287942
902,1305.4016721880043
903,1306.5083933129688
904,1307.2672421078025
905,1308.9881965176435
906,1309.4215324932559
907,1311.0565705111119
908,1311.9669406080493
909,1313.0315993690197
910,1314.0525656517261
911,1316.212112602854
912,1317.07298603483
913,1318.171279132165
914,1318.9478805965664
915,1319.9310828775365
916,1321.6281385519123
917,1322.2580671233911
918,1324.2249787188443
919,1325.2376243589824
920,1325.9819696304462
921,1327.6352811084575
922,1329.0435179965186
923,1329.2050187854836
924,1330.4299371204593
925,1331.8275913852851
926,1333.6735226102849
927,1334.7473290516898
928,1335.6949745260022
929,1336.6901846533858
930,1337.68879180967
931,1338.9231645986704
932,1340.4264004573001
933,1341.1662722529263
934,1342.6085078837768
935,1344.1560440035958
936,1345.4771062613986
937,1345.7314132554184
938,1347.5194717508998
939,1348.0172380187364
940,1349.0851940140476
941,1351.2962063740968
942,1352.2104651591756
943,1353.4833383582645
944,1353.8867819716963
945,1355.6805953206365
946,1356.605655709808
947,1357.7717428285794
948,1358.4601603991591
949,1360.3931447621912
950,1361.3930747136396
951,1363.0223286032808
952,1363.8791907971345
953,1364.576584896754
954,1365.4937335512952
955,1367.1040909700082
956,1368.3301933079858
957,1369.686949077343
958,1370.9735227677836
959,1371.6865535528275
960,1373.2029145623733
961,1374.1547986586406
962,1375.3023923447488
963,1376.1617799936193
964,1377.1776336421046
965,1379.683283028613
966,1380.1485784416925
967,1381.0739771492056
968,1382.3456629784737
969,1383.2975910079465
970,1384.4444158477602
971,1385.6637770111927
972,1387.3266476634894
973,1387.9214541271128
974,1389.565831798394
975,1390.7054902864277
976,1391.8532004432698
977,1392.6440277885486
978,1393.4334017407937
979,1394.8841846756804
980,1396.5441631236824
981,1397.8346233213872
982,1398.8376752013858
983,1399.8394729412064
984,1400.4269462973944
985,1402.564347250066
986,1402.973747640919
987,1404.0062921705228
988,1405.6669750592469
989,1407.0851427764364
990,1408.1363074961896
991,1409.320681079839
992,1410.0248107258021
993,1411.2570568157066
994,1411.965653461773
995,1413.843148788569
996,1415.5857847954953
997,1415.781581303283
998,1417.1028229338226
999,1418.6969638524522
1000,1419.4224809459956
1001,1420.4165263237512
1002,1421.8505671870487
1003,1422.4613109875074
1004,1424.463045669579
1005,1425.8734692449966
1006,1426.64597968212
1007,1427.3656711094268
1008,1428.5923058759788
1009,1429.6504772761916
1010,1431.2183136727517
1011,1432.0497408933136
1012,1433.8219407370652
1013,1434.58494216826
1014,1435.6929073834192
1015,1437.2267216238013
1016,1438.0062848417224
1017,1438.9495527468828
1018,1439.622793078164
1019,1441.9609875048618
1020,1442.9110595808968
1021,1444.0419307063667
1022,1445.072278459201
1023,1445.83008477971
1024,1447.2262270999759
1025,1448.3238535157254
1026,1449.4887712807313
1027,1450.7735618582974
1028,1451.8352979993933
1029,1453.7375967571022
1030,1454.2260112602262
1031,1455.3120912398197
1032,1456.1677976083872
1033,1457.5390016684112
1034,1458.3937773686873
1035,1460.6882705354192
1036,1461.2454433451599
1037,1462.2661232657872
1038,1463.2868911904275
1039,1464.6969032978764
1040,1465.8895576140853
1041,1466.5056211078877
1042,1467.703989586071
1043,1469.3476498782697
1044,1470.966589127165
1045,1471.3887645271066
1046,1473.0201323241856
1047,1473.7456491857465
1048,1474.2032215656989
1049,1476.092127038241
1050,1477.4351911475
1051,1478.441395973413
1052,1479.75991870649
1053,1480.7668790179823
1054,1481.9646842098023
1055,1483.0329599580714
1056,1484.1435808817555
1057,1484.8178832312037
1058,1486.1713490275572
1059,1488.1163379762284
1060,1489.25246694643
1061,1489.9708922046789
1062,1490.6706938146033
1063,1492.1800905440164
1064,1493.3308354212702
1065,1494.1553686136888
1066,1495.7688329789416
1067,1497.06550557171
1068,1497.7473609331212
1069,1499.6408247466197
1070,1500.351951516603
1071,1501.1193249221317
1072,1502.346063292399
1073,1503.0909331266805
1074,1505.261529654672
1075,1506.1529861381132
1076,1507.4075051638304
1077,1508.2530310295422
1078,1509.2804193632232
1079,1510.3917974464734
1080,1511.923005459002
1081,1512.589764705458
1082,1513.5897655399187
1083,1515.708343586874
1084,1516.4359897187585
1085,1517.7198062541302
1086,1518.4147914872538
1087,1519.7410094939069
1088,1520.2736222203562
1089,1521.9019090654608
1090,1523.4860471492589
1091,1524.7248921606222
1092,1525.227837233792
1093,1526.5523119103875
1094,1528.0409304292975
1095,1529.0344567287013
1096,1529.3699753651945
1097,1531.0207429702223
1098,1532.2223269393921
1099,1533.8869779132017
1100,1535.0422774712067
1101,1535.7695023952483
1102,1536.6207018240298
1103,1537.651062167945
1104,1539.3028548555833
1105,1540.0302701395065
1106,1541.742248762789
1107,1542.4965229227662
1108,1544.1186700545202
1109,1544.8346082275195
1110,1546.0911977863134
1111,1547.297581121407
1112,1547.8065638018575
1113,1548.8713481787254
1114,1551.2738453264046
1115,1552.00687283767
1116,1552.7361053298039
1117,1554.1565191096577
1118,1554.9212851649918
1119,1556.1629874975526
1120,1557.3945070176906
1121,1558.339152852352
1122,1559.7811543907103
1123,1560.8764757778094
1124,1562.4101531801944
1125,1563.3854009584954
1126,1564.1779404604317
1127,1564.91578826226
1128,1566.2664156015514
1129,1567.623450717218
1130,1569.0224778043741
1131,1570.509277866921
1132,1571.0453814855382
1133,1571.8453520880453
1134,1573.8065633302715
1135,1574.2309154298637
1136,1575.6381549520165
1137,1576.1613523634244
1138,1578.1188269457828
1139,1579.5140550677406
1140,1580.3720816254715
1141,1581.3635517730017
1142,1582.3294869441472
1143,1583.3946934354217
1144,1584.2348480663761
1145,1586.2932107503377
1146,1587.004342107041
1147,1588.1634040289048
1148,1589.3579459495577
1149,1590.835904321394
1150,1591.2938843735724
1151,1592.637167039235
1152,1593.5848081888619
1153,1594.4426896556906
1154,1596.4844924096546
1155,1597.7158959444232
1156,1598.4207985496705
1157,1599.6193489504628
1158,1600.0480449034073
1159,1601.911946228582
1160,1602.8154047937267
1161,1603.655202996124
1162,1605.5216466466234
1163,1606.2934181265741
1164,1607.556905211983
1165,1608.83629530501
1166,1610.003264190038
1167,1610.2538231625745
1168,1611.4371412695548
1169,1613.0788554510275
1170,1614.7106278521615
1171,1615.574608718972
1172,1616.3983948415837
1173,1617.7346848409852
1174,1618.5375178319775
1175,1619.9525012611289
1176,1620.7743108213886
1177,1622.0987516980229
1178,1622.9777676994756
1179,1625.0218566579629
1180,1625.987020163621
1181,1626.3999193116356
1182,1627.7554412763157
1183,1628.7153168567631
1184,1629.6586689549479
1185,1631.1948145515157
1186,1632.7981835707087
1187,1633.5125168897373
1188,1634.5168226620672
1189,1635.7183663262138
1190,1637.089190173371
1191,1637.9946435860127
1192,1638.5996583042138
1193,1639.8212357298303
1194,1641.8998190085047
1195,1642.489779822378
1196,1644.1520659597377
1197,1644.7137457746678
1198,1645.573760362766
1199,1646.624866593179
1200,1648.2705982225316
1201,1649.1185354092402
1202,1650.4169889830484
1203,1651.732693341396
1204,1652.6710658996012
1205,1654.2058967593712
1206,1654.7266523933217
1207,1655.8227756767717
1208,1657.114236399763
1209,1657.5671011793215
1210,1660.019980337999
1211,1660.8600568333009
1212,1661.8368928840966
1213,1662.3772025492801
1214,1664.05726541811
1215,1664.968004486365
1216,1665.8776404144862
1217,1667.2411250517114
1218,1668.3682293274019
1219,1669.669728452399
1220,1671.047182433303
1221,1671.9842593337262
1222,1672.963370830781
1223,1673.6874453339053
1224,1674.6484620970098
1225,1676.3624863239504
1226,1677.6912271415265
1227,1678.6303680910637
1228,1680.0779467168095
1229,1680.5047701128472
1230,1681.812320174266
1231,1683.2732892606668
1232,1684.1716568370643
1233,1684.5588632525373
1234,1686.4211219478382
1235,1688.0801426931766
1236,1688.9338685097846
1237,1689.7031542561797
1238,1691.051559916893
1239,1691.5151928920352
1240,1693.0530209301971
1241,1694.017564652608
1242,1695.8325544741872
1243,1696.6549974397856
1244,1697.342514286564
1245,1699.229547187643
1246,1699.966817266864
1247,1700.8203032450062
1248,1701.8255509970475
1249,1702.9232497644905
1250,1704.2914124266797
1251,1706.2560324315605
1252,1706.615665035026
1253,1707.9123124933244
1254,1708.5121161784032
1255,1709.7808422985804
1256,1711.137603258593
1257,1712.1553976543223
1258,1713.0553417275132
1259,1714.7171452554946
1260,1715.8252830398205
1261,1716.769983717395
1262,1717.9744850661584
1263,1718.9541524985837
1264,1719.724469321831
1265,1720.4980709475865
1266,1722.8446617399156
1267,1723.53282263126
1268,1724.7339587376582
1269,1725.6386280199738
1270,1726.6057007398854
1271,1728.1665067609654
1272,1728.644486480372
1273,1730.0238725447791
1274,1731.014193761857
1275,1732.430169859257
1276,1733.84082502143
1277,1735.175466021101
1278,1735.6247153428706
1279,1736.305662733238
1280,1737.8938847869285
1281,1738.783237588816
1282,1740.1691156801405
1283,1741.7791678087272
1284,1742.467680720782
1285,1743.4264368587217
1286,1744.7215119376997
1287,1746.0974985956327
1288,1746.5954566271282
1289,1747.7816955277524
1290,1748.5639873810803
1291,1750.8228184898392
1292,1751.617794946251
1293,1752.511511140666
1294,1753.6613552431395
1295,1754.763369874253
1296,1755.1696940681427
1297,1757.046518460723
1298,1757.9840770328183
1299,1759.2400856466818
1300,1760.2151662427623
1301,1761.854899938728
1302,1762.4976888706606
1303,1763.719121496287
1304,1764.591476849092
1305,1765.4004939917838
1306,1766.6762435994779
1307,1768.2959711363414
1308,1769.9409520516358
1309,1770.2436773121974
1310,1771.2129449835465
1311,1772.3280003635914
1312,1773.8949155107034
1313,1774.6604309900235
1314,1775.3419875737472
1315,1777.255860224058
1316,1778.0417347622492
1317,1779.552270809179
1318,1780.6652284929987
1319,1781.3556377228197
1320,1782.4390673200203
1321,1783.0848295199464
